# Tetrahedron method
       -1.4610309497        0.0000000000
       -1.3731054152        0.0000000000
       -1.2851798806        0.0000000000
       -1.1972543461        0.0000000000
       -1.1093288115        0.0000000000
       -1.0214032769        0.0000000000
       -0.9334777424        0.0000000000
       -0.8455522078        0.0000000000
       -0.7576266733        0.0000000000
       -0.6697011387        0.0000000000
       -0.5817756042        0.0000000000
       -0.4938500696        0.0000000000
       -0.4059245351        0.0000000000
       -0.3179990005        0.0000000000
       -0.2300734660        0.0000000000
       -0.1421479314        0.0000000000
       -0.0542223969        0.0000000000
        0.0337031377        0.0000069804
        0.1216286722        0.0001116867
        0.2095542068        0.0003420404
        0.2974797414        0.0006980416
        0.3854052759        0.0011796903
        0.4733308105        0.0024627004
        0.5612563450        0.0037096892
        0.6491818796        0.0048397900
        0.7371074141        0.0063264554
        0.8250329487        0.0082134417
        0.9129584832        0.0100835721
        1.0008840178        0.0122130092
        1.0888095523        0.0147398895
        1.1767350869        0.0171998304
        1.2646606214        0.0198748777
        1.3525861560        0.0230755014
        1.4405116906        0.0261946633
        1.5284372251        0.0294017199
        1.6163627597        0.0331132732
        1.7042882942        0.0371288450
        1.7922138288        0.0411790706
        1.8801393633        0.0455701591
        1.9680648979        0.0504219463
        2.0559904324        0.0552986837
        2.1439159670        0.0602347119
        2.2318415015        0.0658744617
        2.3197670361        0.0716203458
        2.4076925706        0.0777505801
        2.4956181052        0.0842704553
        2.5835436397        0.0911049741
        2.6714691743        0.0981280369
        2.7593947089        0.1062157041
        2.8473202434        0.1144989343
        2.9352457780        0.1224493646
        3.0231713125        0.1313090137
        3.1110968471        0.1414029355
        3.1990223816        0.1517820530
        3.2869479162        0.1627369566
        3.3748734507        0.1741543039
        3.4627989853        0.1865869734
        3.5507245198        0.2001611903
        3.6386500544        0.2150358461
        3.7265755889        0.2309508131
        3.8145011235        0.2475903775
        3.9024266580        0.2669950971
        3.9903521926        0.2885559701
        4.0782777272        0.3133916453
        4.1662032617        0.3424775436
        4.2541287963        0.3783487760
        4.3420543308        0.4260444563
        4.4299798654        0.5235433227
        4.5179053999        0.5312285557
        4.6058309345        0.5361297671
        4.6937564690        0.5375949150
        4.7816820036        0.5389614662
        4.8696075381        0.5445812401
        4.9575330727        0.5458475791
        5.0454586072        0.5493712553
        5.1333841418        0.5500368680
        5.2213096764        0.5531903715
        5.3092352109        0.5537028616
        5.3971607455        0.5576380002
        5.4850862800        0.5569338590
        5.5730118146        0.5599493289
        5.6609373491        0.5609406573
        5.7488628837        0.5625802239
        5.8367884182        0.5640797846
        5.9247139528        0.5636158531
        6.0126394873        0.5662863653
        6.1005650219        0.5665950048
        6.1884905564        0.5676048410
        6.2764160910        0.4969557971
        6.3643416255        0.4533190642
        6.4522671601        0.4218391066
        6.5401926947        0.4005757890
        6.6281182292        0.3806539546
        6.7160437638        0.3649668212
        6.8039692983        0.3501963836
        6.8918948329        0.3444942446
        6.9798203674        0.3427108062
        7.0677459020        0.3321796542
        7.1556714365        0.3363002952
        7.2435969711        0.3434888542
        7.3315225056        0.3564601783
        7.4194480402        0.3694463219
        7.5073735747        0.3773263998
        7.5952991093        0.3917526411
        7.6832246438        0.3938585231
        7.7711501784        0.3259542224
        7.8590757130        0.2624997281
        7.9470012475        0.2192426216
        8.0349267821        0.1779494733
        8.1228523166        0.1342018806
        8.2107778512        0.0704915056
        8.2987033857        0.0735734507
        8.3866289203        0.0765982785
        8.4745544548        0.0795743728
        8.5624799894        0.0828072038
        8.6504055239        0.0867310299
        8.7383310585        0.0906496625
        8.8262565930        0.0945353279
        8.9141821276        0.0983799051
        9.0021076621        0.1030679023
        9.0900331967        0.1080716040
        9.1779587313        0.1131217499
        9.2658842658        0.1180298052
        9.3538098004        0.1238395535
        9.4417353349        0.1304112795
        9.5296608695        0.1367588091
        9.6175864040        0.1431838515
        9.7055119386        0.1512678815
        9.7934374731        0.1595862374
        9.8813630077        0.1678225471
        9.9692885422        0.1772768385
       10.0572140768        0.1880947630
       10.1451396113        0.1989914846
       10.2330651459        0.2110706035
       10.3209906805        0.2253772175
       10.4089162150        0.2400256148
       10.4968417496        0.2571043996
       10.5847672841        0.2771391960
       10.6726928187        0.2992680006
       10.7606183532        0.3268259004
       10.8485438878        0.3607086261
       10.9364694223        0.4046220629
       11.0243949569        0.4719157522
       11.1123204914        0.6063492656
       11.2002460260        0.6886975063
       11.2881715605        0.4849239122
       11.3760970951        0.3943043231
       11.4640226296        0.3318588752
       11.5519481642        0.2764703850
       11.6398736988        0.1814997476
       11.7277992333        0.1579983676
       11.8157247679        0.1275133732
       11.9036503024        0.1116382574
       11.9915758370        0.1040149008
       12.0795013715        0.1202111004
       12.1674269061        0.1412648616
       12.2553524406        0.1820518695
       12.3432779752        0.2490132320
       12.4312035097        0.3766663312
       12.5191290443        0.4794069573
       12.6070545788        0.5038506825
       12.6949801134        0.5113447907
       12.7829056479        0.5247170286
       12.8708311825        0.5260770195
       12.9587567171        0.5319901115
       13.0466822516        0.5297135793
       13.1346077862        0.5330799867
       13.2225333207        0.5299492203
       13.3104588553        0.4780712809
       13.3983843898        0.4682206593
       13.4863099244        0.5700260280
       13.5742354589        0.8069958871
       13.6621609935        1.0779794432
       13.7500865280        1.4538304986
       13.8380120626        2.1599026573
       13.9259375971        3.0116459804
       14.0138631317        2.4022386161
       14.1017886663        2.2811764889
       14.1897142008        2.9005161541
       14.2776397354        5.3242421292
       14.3655652699        2.9347655746
       14.4534908045        1.5029535675
       14.5414163390        0.8932781965
       14.6293418736        0.4480572608
